year,km_driven,fuel,transmission,owner,engine_cc,seats,price
-1.5670532059467739,-0.5341844606150569,2,0,2,-0.7888835522628622,-0.3007830552422601,17806
0.13547239418165155,-1.1544389695432462,1,0,0,1.5955587121912673,-1.1028712025549539,33450
0.3786903370571409,-1.368496009225452,0,1,0,0.6784655335550637,1.3033932393831271,30788
0.13547239418165155,0.5246911022153735,1,0,1,-1.1557208237173437,-1.1028712025549539,28144
0.3786903370571409,0.9660742989084872,0,0,1,0.6784655335550637,1.3033932393831271,23210
0.6219082799326303,0.9667603213009914,1,1,0,-1.1557208237173437,-0.3007830552422601,29833
-0.5941814344448165,-1.7776542066917176,0,0,1,-0.7888835522628622,-0.3007830552422601,24090
-1.5670532059467739,0.6651271072493516,2,1,0,0.6784655335550637,-0.3007830552422601,19113
0.3786903370571409,1.5372782067726172,2,1,2,1.5955587121912673,1.3033932393831271,22290
1.3515621085590983,-1.2659176083251995,3,0,1,-0.23862764508114004,-0.3007830552422601,32342
0.6219082799326303,1.6456877980091562,2,1,0,-0.23862764508114004,1.3033932393831271,23512
1.108344165683609,-1.7639518120624864,2,0,0,-0.7888835522628622,-1.1028712025549539,36041
-0.5941814344448165,0.4420073506977466,0,1,0,1.5955587121912673,1.3033932393831271,22731
-0.35096349156932716,-1.0253042807647341,3,0,0,1.5955587121912673,1.3033932393831271,30095
-1.3238352630712846,1.7026096033661602,2,0,2,-0.23862764508114004,1.3033932393831271,16163
-1.5670532059467739,0.6174485509703008,3,0,2,-1.1557208237173437,1.3033932393831271,14467
0.8651262228081197,0.7932688688808179,2,0,0,-0.7888835522628622,-1.1028712025549539,27288
1.108344165683609,-1.0760157781474884,1,0,1,0.6784655335550637,-1.1028712025549539,36980
0.6219082799326303,-0.6401929734778309,3,1,1,-1.1557208237173437,-0.3007830552422601,25542
1.108344165683609,-0.44148117152269567,0,0,2,0.6784655335550637,-0.3007830552422601,32973
-1.0806173201957952,-1.0594068149605416,0,1,1,-0.23862764508114004,-0.3007830552422601,17637
-0.5941814344448165,0.06050668758191871,2,1,2,-1.1557208237173437,1.3033932393831271,17515
